candidate_index,symbol,family,signal,objective_score,total_return_pct,cagr_pct,monthly_mean_return_pct,max_drawdown_pct,sharpe,trade_count,params_json
1140,SPY,bull_put_credit_spread,bull_mean_reversion,34.314,179.12,17.86,1.41,-10.12,2.485,176,"{""bull_rsi_threshold"": 40.0, ""candidate_index"": 1140, ""entry_slippage_pct"": 0.03, ""exit_dte"": 1, ""exit_slippage_pct"": 0.03, ""family"": ""bull_put_credit_spread"", ""initial_capital"": 100000.0, ""iv_multiplier"": 1.0, ""max_iv"": 0.45, ""max_rv"": 0.6, ""min_iv"": 0.25, ""min_rv"": 0.0, ""option_dte"": 7, ""per_contract_fee"": 1.0, ""put_long_pct"": 0.94, ""put_short_pct"": 0.98, ""risk_fraction"": 0.15, ""risk_free_rate"": 0.04, ""rsi_window"": 3, ""signal"": ""bull_mean_reversion"", ""stop_loss"": 0.45, ""symbol"": ""SPY"", ""take_profit"": 0.2}"
1141,SPY,bull_put_credit_spread,bull_mean_reversion,34.314,179.12,17.86,1.41,-10.12,2.485,176,"{""bull_rsi_threshold"": 40.0, ""candidate_index"": 1141, ""entry_slippage_pct"": 0.03, ""exit_dte"": 1, ""exit_slippage_pct"": 0.03, ""family"": ""bull_put_credit_spread"", ""initial_capital"": 100000.0, ""iv_multiplier"": 1.0, ""max_iv"": 0.45, ""max_rv"": 0.6, ""min_iv"": 0.25, ""min_rv"": 0.0, ""option_dte"": 7, ""per_contract_fee"": 1.0, ""put_long_pct"": 0.94, ""put_short_pct"": 0.98, ""risk_fraction"": 0.15, ""risk_free_rate"": 0.04, ""rsi_window"": 3, ""signal"": ""bull_mean_reversion"", ""stop_loss"": 0.6, ""symbol"": ""SPY"", ""take_profit"": 0.2}"
1600,SPY,bull_put_credit_spread,bull_mean_reversion,34.314,179.12,17.86,1.41,-10.12,2.485,176,"{""bull_rsi_threshold"": 40.0, ""candidate_index"": 1600, ""entry_slippage_pct"": 0.03, ""exit_dte"": 1, ""exit_slippage_pct"": 0.03, ""family"": ""bull_put_credit_spread"", ""initial_capital"": 100000.0, ""iv_multiplier"": 1.0, ""max_iv"": 0.7, ""max_rv"": 0.45, ""min_iv"": 0.25, ""min_rv"": 0.0, ""option_dte"": 7, ""per_contract_fee"": 1.0, ""put_long_pct"": 0.94, ""put_short_pct"": 0.98, ""risk_fraction"": 0.15, ""risk_free_rate"": 0.04, ""rsi_window"": 3, ""signal"": ""bull_mean_reversion"", ""stop_loss"": 0.45, ""symbol"": ""SPY"", ""take_profit"": 0.2}"
1601,SPY,bull_put_credit_spread,bull_mean_reversion,34.314,179.12,17.86,1.41,-10.12,2.485,176,"{""bull_rsi_threshold"": 40.0, ""candidate_index"": 1601, ""entry_slippage_pct"": 0.03, ""exit_dte"": 1, ""exit_slippage_pct"": 0.03, ""family"": ""bull_put_credit_spread"", ""initial_capital"": 100000.0, ""iv_multiplier"": 1.0, ""max_iv"": 0.7, ""max_rv"": 0.45, ""min_iv"": 0.25, ""min_rv"": 0.0, ""option_dte"": 7, ""per_contract_fee"": 1.0, ""put_long_pct"": 0.94, ""put_short_pct"": 0.98, ""risk_fraction"": 0.15, ""risk_free_rate"": 0.04, ""rsi_window"": 3, ""signal"": ""bull_mean_reversion"", ""stop_loss"": 0.6, ""symbol"": ""SPY"", ""take_profit"": 0.2}"
1620,SPY,bull_put_credit_spread,bull_mean_reversion,34.314,179.12,17.86,1.41,-10.12,2.485,176,"{""bull_rsi_threshold"": 40.0, ""candidate_index"": 1620, ""entry_slippage_pct"": 0.03, ""exit_dte"": 1, ""exit_slippage_pct"": 0.03, ""family"": ""bull_put_credit_spread"", ""initial_capital"": 100000.0, ""iv_multiplier"": 1.0, ""max_iv"": 0.7, ""max_rv"": 0.6, ""min_iv"": 0.25, ""min_rv"": 0.0, ""option_dte"": 7, ""per_contract_fee"": 1.0, ""put_long_pct"": 0.94, ""put_short_pct"": 0.98, ""risk_fraction"": 0.15, ""risk_free_rate"": 0.04, ""rsi_window"": 3, ""signal"": ""bull_mean_reversion"", ""stop_loss"": 0.45, ""symbol"": ""SPY"", ""take_profit"": 0.2}"
1621,SPY,bull_put_credit_spread,bull_mean_reversion,34.314,179.12,17.86,1.41,-10.12,2.485,176,"{""bull_rsi_threshold"": 40.0, ""candidate_index"": 1621, ""entry_slippage_pct"": 0.03, ""exit_dte"": 1, ""exit_slippage_pct"": 0.03, ""family"": ""bull_put_credit_spread"", ""initial_capital"": 100000.0, ""iv_multiplier"": 1.0, ""max_iv"": 0.7, ""max_rv"": 0.6, ""min_iv"": 0.25, ""min_rv"": 0.0, ""option_dte"": 7, ""per_contract_fee"": 1.0, ""put_long_pct"": 0.94, ""put_short_pct"": 0.98, ""risk_fraction"": 0.15, ""risk_free_rate"": 0.04, ""rsi_window"": 3, ""signal"": ""bull_mean_reversion"", ""stop_loss"": 0.6, ""symbol"": ""SPY"", ""take_profit"": 0.2}"
3040,SPY,bull_put_credit_spread,bull_mean_reversion,34.273,179.03,17.86,1.41,-10.14,2.481,176,"{""bull_rsi_threshold"": 40.0, ""candidate_index"": 3040, ""entry_slippage_pct"": 0.03, ""exit_dte"": 1, ""exit_slippage_pct"": 0.03, ""family"": ""bull_put_credit_spread"", ""initial_capital"": 100000.0, ""iv_multiplier"": 1.15, ""max_iv"": 0.45, ""max_rv"": 0.45, ""min_iv"": 0.25, ""min_rv"": 0.0, ""option_dte"": 7, ""per_contract_fee"": 1.0, ""put_long_pct"": 0.94, ""put_short_pct"": 0.98, ""risk_fraction"": 0.15, ""risk_free_rate"": 0.04, ""rsi_window"": 3, ""signal"": ""bull_mean_reversion"", ""stop_loss"": 0.45, ""symbol"": ""SPY"", ""take_profit"": 0.2}"
3041,SPY,bull_put_credit_spread,bull_mean_reversion,34.273,179.03,17.86,1.41,-10.14,2.481,176,"{""bull_rsi_threshold"": 40.0, ""candidate_index"": 3041, ""entry_slippage_pct"": 0.03, ""exit_dte"": 1, ""exit_slippage_pct"": 0.03, ""family"": ""bull_put_credit_spread"", ""initial_capital"": 100000.0, ""iv_multiplier"": 1.15, ""max_iv"": 0.45, ""max_rv"": 0.45, ""min_iv"": 0.25, ""min_rv"": 0.0, ""option_dte"": 7, ""per_contract_fee"": 1.0, ""put_long_pct"": 0.94, ""put_short_pct"": 0.98, ""risk_fraction"": 0.15, ""risk_free_rate"": 0.04, ""rsi_window"": 3, ""signal"": ""bull_mean_reversion"", ""stop_loss"": 0.6, ""symbol"": ""SPY"", ""take_profit"": 0.2}"
3060,SPY,bull_put_credit_spread,bull_mean_reversion,34.273,179.03,17.86,1.41,-10.14,2.481,176,"{""bull_rsi_threshold"": 40.0, ""candidate_index"": 3060, ""entry_slippage_pct"": 0.03, ""exit_dte"": 1, ""exit_slippage_pct"": 0.03, ""family"": ""bull_put_credit_spread"", ""initial_capital"": 100000.0, ""iv_multiplier"": 1.15, ""max_iv"": 0.45, ""max_rv"": 0.6, ""min_iv"": 0.25, ""min_rv"": 0.0, ""option_dte"": 7, ""per_contract_fee"": 1.0, ""put_long_pct"": 0.94, ""put_short_pct"": 0.98, ""risk_fraction"": 0.15, ""risk_free_rate"": 0.04, ""rsi_window"": 3, ""signal"": ""bull_mean_reversion"", ""stop_loss"": 0.45, ""symbol"": ""SPY"", ""take_profit"": 0.2}"
3061,SPY,bull_put_credit_spread,bull_mean_reversion,34.273,179.03,17.86,1.41,-10.14,2.481,176,"{""bull_rsi_threshold"": 40.0, ""candidate_index"": 3061, ""entry_slippage_pct"": 0.03, ""exit_dte"": 1, ""exit_slippage_pct"": 0.03, ""family"": ""bull_put_credit_spread"", ""initial_capital"": 100000.0, ""iv_multiplier"": 1.15, ""max_iv"": 0.45, ""max_rv"": 0.6, ""min_iv"": 0.25, ""min_rv"": 0.0, ""option_dte"": 7, ""per_contract_fee"": 1.0, ""put_long_pct"": 0.94, ""put_short_pct"": 0.98, ""risk_fraction"": 0.15, ""risk_free_rate"": 0.04, ""rsi_window"": 3, ""signal"": ""bull_mean_reversion"", ""stop_loss"": 0.6, ""symbol"": ""SPY"", ""take_profit"": 0.2}"
