Date,open,high,low,close,volume
2020-01-02,295.67275187158805,296.906478796011,294.7497366062965,296.88818359375,59151200
2020-01-03,293.4977411082979,295.7641429457349,293.4429112798059,294.64007568359375,77709700
2020-01-06,292.8854545477704,295.8464049037738,292.76664728278183,295.76416015625,55653900
2020-01-07,295.19752718117184,295.67275622250656,294.4847115081981,294.9325256347656,40496400
2020-01-08,295.12444534201336,297.7198263343244,294.87771109631456,296.50439453125,68296000
2020-01-09,298.06710630868724,298.58801761539866,297.4822175666189,298.514892578125,48473300
2020-01-10,299.09974925042434,299.2550911321721,297.1897692196359,297.65582275390625,53029300
2020-01-13,298.2773104255387,299.71206160755526,297.84779146443003,299.70294189453125,47086800
2020-01-14,299.264269511989,300.31521183370324,298.68852837435486,299.2460021972656,62832800
2020-01-15,299.1545652539482,300.6807085322573,299.07232051640693,299.9222106933594,72056600
2020-01-16,301.3021337281493,302.41705322265625,301.07366684721774,302.41705322265625,54050300
2020-01-17,303.12987052009737,303.56850908503526,302.353077542655,303.35833740234375,95846000
2020-01-21,302.39883225787577,303.5685818598415,302.3257351092037,302.7643737792969,77742400
2020-01-22,303.62331742525095,304.2721834050225,302.64550043407195,302.80084228515625,48914900
2020-01-23,302.1520200824009,303.5593838604017,301.03710060172915,303.14813232421875,51963000
2020-01-24,303.80614634423307,303.88839108132504,299.1636833310754,300.4522399902344,87578400
2020-01-27,295.2066810180619,297.1166611579254,294.8685544324489,295.6361999511719,84062500
2020-01-28,297.0617985757093,299.61149697791484,295.72755969424713,298.73419189453125,63834000
2020-01-29,300.0958733171972,300.3243402372707,298.28640527016483,298.4874572753906,53888900
2020-01-30,296.4220385181129,299.6662847627549,295.6726883900491,299.4560852050781,75491800
2020-01-31,298.83471866925794,298.99008843943227,293.104778599044,294.0186462402344,113845600
2020-02-03,295.499090784858,298.067056481467,295.3802835359217,296.2027587890625,69083000
2020-02-04,299.81259553758144,301.5855011806518,299.4927362514343,300.7173156738281,62573200
2020-02-05,303.6507019677396,304.4000799069175,302.1885364822459,304.18988037109375,65951100
2020-02-06,305.1494930421346,305.4053748205114,304.1350856388759,305.2134704589844,50359700
2020-02-07,304.15341594950706,305.22262540475447,303.038496381652,303.5868225097656,64139400
2020-02-10,302.700414075177,305.91721840038207,302.6638515575527,305.8532409667969,42070000
2020-02-11,307.2058067510786,307.99171968195316,305.85327235048885,306.3833312988281,54864500
2020-02-12,307.81797137820314,308.56734940604724,307.45242996357894,308.357177734375,43992700
2020-02-13,306.9316372388718,308.99698746751847,306.6574880443758,308.0282897949219,54501900
2020-02-14,308.4394837726626,308.6405357740244,307.24231936560784,308.521728515625,64582200
2020-02-18,307.52557156291806,308.58566124480814,306.33752704004746,307.72662353515625,57226200
2020-02-19,308.69538196134926,309.87425122864335,308.4120852020123,309.197998046875,48814700
2020-02-20,308.64963919276863,309.4721423570291,304.9393389090685,307.9277038574219,74163400
2020-02-21,306.57514878327885,306.8858604042742,303.93405817128195,304.7565612792969,113788200
2020-02-24,295.3072473908234,304.8297340268577,293.5708763000979,294.6492614746094,161088400
2020-02-25,296.0383078861717,296.6505836333486,284.8434284508616,285.7207336425781,218913200
2020-02-26,287.1189586441504,290.7104521537765,283.93871677139504,284.6697998046875,194773800
2020-02-27,279.1499964992916,284.72459458112405,271.884765625,271.884765625,284353500
2020-02-28,263.83362436216396,272.23207101783856,260.94579899354517,270.7424621582031,384975800
2020-03-02,272.52452066836804,282.53138466870956,269.0975162694885,282.4674072265625,238703600
2020-03-03,282.8419998690826,286.80818159326185,271.9395669552168,274.37957763671875,300139100
2020-03-04,279.7531390923097,286.1319448399597,277.20344073550206,285.91259765625,176613400
2020-03-05,278.71135042930734,281.9007394258582,274.1694273459628,276.40838623046875,186366800
2020-03-06,267.9002530665259,273.045331573346,265.2317755742254,271.8390197753906,228667200
2020-03-09,251.58775678015627,259.71205370103047,249.8971239127328,250.6099395751953,309417300
2020-03-10,260.1233095601224,263.6690927281698,249.94281022843532,263.5777282714844,276444100
2020-03-11,256.5226437962952,257.6558306839711,247.54845736466214,250.72869873046875,255316300
2020-03-12,233.95009968243195,243.69193139870373,226.34671474938688,226.73968505859375,392220700
2020-03-13,240.42947267664428,248.0968367944438,227.11442627444234,246.1228790283203,329566100
2020-03-16,220.40659381646842,234.7725944345364,216.9156266338003,219.191162109375,297240000
2020-03-17,223.93413457519435,234.10550046036911,216.65062185131984,231.0257568359375,262070500
2020-03-18,215.9012131690979,226.977283642767,208.38008698094055,219.32821655273438,327597100
2020-03-19,218.6428280834812,226.07257629627384,212.21833983048688,219.79429626464844,289322000
2020-03-20,222.94363004147445,224.72696071707477,210.0466734873275,210.32244873046875,347158800
2020-03-23,209.761700043424,211.13136077030381,200.63362552870024,204.9448699951172,326025200
2020-03-24,215.48857598678674,224.3868403910806,214.91865078430803,223.5135498046875,235494500
2020-03-25,225.09463160277366,235.64753271475618,220.3881202388159,226.8595733642578,299430300
2020-03-26,229.36913318338085,241.57664463189138,228.93708857476466,240.1058807373047,257632800
2020-03-27,232.8162819931154,239.7473562360883,230.77556488684385,232.95416259765625,224341200
2020-03-30,235.05004716701424,241.2365384930664,233.0552948085847,240.51953125,171369500
2020-03-31,239.5175449357564,242.06383359967347,235.52804049293425,236.93447875976562,194881100
2020-04-01,227.9534688676713,236.8517325396181,224.20296243005834,226.27125549316406,189554600
2020-04-02,225.38882134558207,232.27393107275833,224.83727084545978,231.49258422851562,177660400
2020-04-03,230.50897330571124,232.86224312191504,225.41638201331432,228.1465301513672,135561200
2020-04-06,237.01721102821946,245.43746603844804,228.12814793015815,243.47027587890625,188061200
2020-04-07,252.0651906394755,252.81897536266575,243.49788162912452,243.71849060058594,201427200
2020-04-08,246.3199470598107,253.71065665190883,243.8288104236189,251.89974975585938,153774500
2020-04-09,255.16303317810022,258.49071084159345,253.22344715493466,255.7329864501953,189999200
2020-04-13,254.7584972092397,255.0986119348199,249.49123549778616,253.39801025390625,114839100
2020-04-14,258.2884851590157,261.89189610685975,253.26023306323893,260.8715515136719,134143400
2020-04-15,255.15380261017032,261.0093649327239,253.21418896902438,255.32846069335938,121775000
2020-04-16,256.6062230641316,257.415159958969,253.4900094044969,256.5602722167969,131798300
2020-04-17,262.33311040568213,264.09803815159717,259.5937609848719,263.4913635253906,146684800
2020-04-20,259.7868595128614,263.6293107862759,258.62863415329286,258.8492431640625,100109300
2020-04-21,254.3816726761035,255.58587661831038,250.05202565489662,250.9896697998047,126385700
2020-04-22,255.8708411886541,258.30682521082116,254.5471313703784,256.5602722167969,92951600
2020-04-23,257.8380038199027,261.0093977789953,256.23853280732754,256.5418701171875,104709700
2020-04-24,258.0586450832086,260.7887931290741,256.00872668784143,260.11773681640625,85063200
2020-04-27,262.09418691632743,264.9897926375296,261.63456607000865,263.8683166503906,77896600
2020-04-28,267.51761283020494,267.86692903854635,262.3514808302591,262.65484619140625,105270000
2020-04-29,267.98644290704055,271.0659071925588,266.9568970325676,269.53076171875,118745600
2020-04-30,268.15185850594577,269.631851513318,265.28383028027514,267.0212097167969,122901700
2020-05-01,262.26877941171466,267.18672684650835,258.78484641412496,259.9523010253906,125180000
2020-05-04,258.0677518031974,260.97255720726406,256.58778701525625,260.6692199707031,80873200
2020-05-05,263.49133703836077,265.8905433416998,260.797938736248,263.0776672363281,79569900
2020-05-06,264.7783363053678,265.1644020355753,260.86235843797067,261.2944030761719,73632600
2020-05-07,264.511680282958,266.3777389730855,263.9417551736114,264.44732666015625,75250400
2020-05-08,267.5820163579853,269.2918202089729,266.4513391653479,268.822998046875,76452400
2020-05-11,266.89263885494034,270.25706693209133,266.46979551663003,268.8782043457031,79514200
2020-05-12,270.0639458677684,270.47758767684087,263.3810427599695,263.5189514160156,95870800
2020-05-13,262.95823845859854,263.9969859100772,256.43161777077114,258.8584289550781,144721100
2020-05-14,256.4224143490226,262.08491700872327,250.94371509495167,261.95623779296875,121977900
2020-05-15,259.56619361268525,263.2063817576998,258.61937607827673,263.1604309082031,111146300
2020-05-18,269.383676574657,272.78488091937567,269.0619645324173,271.17620849609375,119703800
2020-05-19,270.5786678061945,272.2884430673774,268.3724944146935,268.390869140625,95189300
2020-05-20,271.9299729869196,273.81440646458674,271.70016265778855,272.9503173828125,85861700
2020-05-21,272.82170318555836,273.6306402253111,269.97204881480235,271.0659484863281,78293900
2020-05-22,270.7809833540963,271.755377128521,269.5400016819818,271.5807189941406,63958200
2020-05-26,277.5465711025609,277.7855828624157,271.59907765243577,274.9267272949219,88951400
2020-05-27,277.7211395250684,279.0540504510923,272.8951233524511,279.01727294921875,104817400
2020-05-28,280.0468208967093,282.05996133248505,277.8314462784761,278.50250244140625,90405200
2020-05-29,278.03381779303385,280.3319218865328,275.28529427417817,279.7436218261719,119090800
2020-06-01,279.10016829764464,281.4810010010921,278.5853951754415,280.8742980957031,55758300
2020-06-02,281.7935125894445,283.2459300855402,280.46062904766694,283.199951171875,74267200
2020-06-03,285.18548024177693,287.92483007098406,284.9097190069347,286.96881103515625,92567600
2020-06-04,285.98515548879453,287.7225350605196,284.1190967189892,286.2149658203125,75794400
2020-06-05,291.61095127500704,295.32466622909004,291.54659764607965,293.550537109375,150524700
