Date,open,high,low,close,volume
2020-01-02,69.2747706446572,69.82881907772368,69.04351954591407,69.70355224609375,5200400
2020-01-03,68.6773662770299,69.10132536812232,68.35457631793821,68.56173706054688,9963600
2020-01-06,67.69454017128152,67.99324715970941,67.33802959832852,67.82943725585938,6514000
2020-01-07,68.52801221664444,69.207312686249,68.12331365972436,68.96160888671875,6526000
2020-01-08,68.95679565065109,69.42893540344262,68.6629111680143,69.07723999023438,6112800
2020-01-09,69.95889753371732,69.95889753371732,68.81708012871229,69.47229766845703,6403600
2020-01-10,69.86737287511977,69.86737287511977,68.76892079833823,68.89418029785156,4503800
2020-01-13,69.47230363816408,69.88663252024301,69.2217773172619,69.85772705078125,7211800
2020-01-14,69.94444001336599,70.46958297096413,69.57829183265498,70.00225830078125,6001800
2020-01-15,69.7180095700517,69.81917870553322,68.76890752053302,68.9664306640625,7379800
2020-01-16,69.60719854559842,70.079345703125,69.52529726758013,70.079345703125,6238400
2020-01-17,70.38286093749747,70.38768341651493,69.86736292508613,70.368408203125,5896400
2020-01-21,70.0889810118627,70.73938350659755,70.02635494259212,70.42622375488281,6054400
2020-01-22,70.93690784155214,71.59694053474448,70.80201075610174,71.00435638427734,7073600
2020-01-23,71.20669737248568,71.44758605957031,70.6141132606325,71.44758605957031,8740000
2020-01-24,72.41595957567763,72.62312767968166,70.60447920421625,71.13442993164062,9998400
2020-01-27,68.8267316879952,69.13506898383463,68.05106964436683,68.26786804199219,13582200
2020-01-28,69.0146099097142,70.13715209092996,68.60991867351795,69.97816467285156,7419400
2020-01-29,69.6939135701379,69.92516464094031,68.8026225275647,68.9134292602539,5874400
2020-01-30,68.21486745232646,68.86526995104101,67.43439033494137,68.75446319580078,10334200
2020-01-31,68.1425981760551,68.20523159190284,65.98423743353034,66.27812194824219,12204800
2020-02-03,66.5671787004958,67.27539202643682,66.48046230205698,67.18385314941406,7682000
2020-02-04,68.99052794631065,69.4096793180742,68.6388324734422,69.3470458984375,10815600
2020-02-05,70.58038749319824,70.8742719945614,69.79027286923923,70.72492218017578,10793000
2020-02-06,70.82127485577898,70.8405427163885,69.94925897424527,70.7730941772461,5421800
2020-02-07,70.07452402591109,70.13234231502196,69.11579166829088,69.15432739257812,10472400
2020-02-10,68.6918174734038,70.25759390713603,68.65327440210508,70.2431411743164,8198400
2020-02-11,70.87909489057611,72.0257275545762,70.87909489057611,71.7270278930664,10834200
2020-02-12,72.26179174258235,72.82547039400677,72.26179174258235,72.7387466430664,7438400
2020-02-13,72.24252297565565,73.38915559271466,72.14135383376224,72.91219329833984,7965600
2020-02-14,73.23016438461585,73.52886401849283,72.16543310206586,72.59903717041016,7469800
2020-02-18,71.14406758275338,71.6210298539412,70.87427341569996,71.51021575927734,11817200
2020-02-19,72.62312760138242,73.48069078148356,72.50749837941137,73.3506088256836,8134000
2020-02-20,73.03746170311301,73.13381571933913,71.08143915215568,72.19435119628906,7756000
2020-02-21,71.71738668426254,71.76074488752873,69.8384576959942,70.07452392578125,14164000
2020-02-24,66.8562465990943,67.80052611209008,66.2636551507285,66.89960479736328,19728200
2020-02-25,67.68972803805306,67.90171128072116,64.65935127720246,64.97250366210938,25658000
2020-02-26,65.53135694596182,66.60571837383392,64.84241151549283,65.36273193359375,19085800
