date,equity
2020-01-02,100000.0
2020-01-03,100000.0
2020-01-06,100000.0
2020-01-07,100000.0
2020-01-08,100000.0
2020-01-09,100000.0
2020-01-10,100000.0
2020-01-13,100000.0
2020-01-14,100000.0
2020-01-15,100000.0
2020-01-16,100000.0
2020-01-17,100000.0
2020-01-21,100000.0
2020-01-22,100000.0
2020-01-23,100000.0
2020-01-24,100000.0
2020-01-27,100000.0
2020-01-28,100000.0
2020-01-29,100000.0
2020-01-30,100000.0
2020-01-31,100000.0
2020-02-03,100000.0
2020-02-04,100000.0
2020-02-05,100000.0
2020-02-06,100000.0
2020-02-07,100000.0
2020-02-10,100000.0
2020-02-11,100000.0
2020-02-12,100000.0
2020-02-13,100000.0
2020-02-14,100000.0
2020-02-18,100000.0
2020-02-19,100000.0
2020-02-20,100000.0
2020-02-21,100000.0
2020-02-24,100000.0
2020-02-25,100000.0
2020-02-26,100000.0
2020-02-27,100000.0
2020-02-28,100000.0
2020-03-02,100000.0
2020-03-03,100000.0
2020-03-04,100000.0
2020-03-05,100000.0
2020-03-06,100000.0
2020-03-09,100000.0
2020-03-10,100000.0
2020-03-11,100000.0
2020-03-12,100000.0
2020-03-13,100000.0
2020-03-16,100000.0
2020-03-17,100000.0
2020-03-18,100000.0
2020-03-19,100000.0
2020-03-20,100000.0
2020-03-23,100000.0
2020-03-24,100000.0
2020-03-25,100000.0
2020-03-26,100000.0
2020-03-27,100000.0
2020-03-30,100000.0
2020-03-31,100000.0
2020-04-01,100000.0
2020-04-02,100000.0
2020-04-03,100000.0
2020-04-06,100000.0
2020-04-07,100000.0
2020-04-08,100000.0
2020-04-09,100000.0
2020-04-13,100000.0
2020-04-14,100000.0
2020-04-15,100000.0
2020-04-16,100000.0
2020-04-17,100000.0
2020-04-20,100000.0
2020-04-21,100000.0
2020-04-22,100000.0
2020-04-23,100000.0
2020-04-24,100000.0
2020-04-27,100000.0
2020-04-28,100000.0
2020-04-29,100000.0
2020-04-30,100000.0
2020-05-01,100000.0
2020-05-04,100000.0
2020-05-05,100000.0
2020-05-06,100000.0
2020-05-07,100000.0
2020-05-08,100000.0
2020-05-11,100000.0
2020-05-12,100000.0
2020-05-13,100000.0
2020-05-14,100000.0
2020-05-15,100000.0
2020-05-18,100000.0
2020-05-19,100000.0
2020-05-20,100000.0
2020-05-21,100000.0
2020-05-22,100000.0
2020-05-26,100000.0
2020-05-27,100000.0
2020-05-28,100000.0
2020-05-29,100000.0
2020-06-01,100000.0
2020-06-02,100000.0
2020-06-03,100000.0
2020-06-04,100000.0
2020-06-05,100000.0
2020-06-08,100000.0
2020-06-09,100000.0
2020-06-10,100000.0
2020-06-11,100000.0
2020-06-12,100000.0
2020-06-15,100000.0
2020-06-16,100000.0
2020-06-17,100000.0
2020-06-18,100000.0
2020-06-19,100000.0
2020-06-22,100000.0
2020-06-23,100000.0
2020-06-24,100000.0
2020-06-25,100000.0
2020-06-26,100000.0
2020-06-29,100000.0
2020-06-30,100000.0
2020-07-01,100000.0
2020-07-02,100000.0
2020-07-06,100000.0
2020-07-07,100000.0
2020-07-08,100000.0
2020-07-09,100000.0
2020-07-10,100000.0
2020-07-13,100000.0
2020-07-14,100000.0
2020-07-15,100000.0
2020-07-16,100000.0
2020-07-17,100000.0
2020-07-20,100000.0
2020-07-21,100000.0
2020-07-22,100000.0
2020-07-23,100000.0
2020-07-24,100000.0
2020-07-27,100000.0
2020-07-28,100000.0
2020-07-29,100000.0
2020-07-30,100000.0
2020-07-31,100000.0
2020-08-03,100000.0
2020-08-04,100000.0
2020-08-05,100000.0
2020-08-06,100000.0
2020-08-07,100000.0
2020-08-10,100000.0
2020-08-11,100000.0
2020-08-12,100000.0
2020-08-13,100000.0
2020-08-14,100000.0
2020-08-17,100000.0
2020-08-18,100000.0
2020-08-19,100000.0
2020-08-20,100000.0
2020-08-21,100000.0
2020-08-24,100000.0
2020-08-25,100000.0
2020-08-26,100000.0
2020-08-27,100000.0
2020-08-28,100000.0
2020-08-31,100000.0
2020-09-01,100000.0
2020-09-02,100000.0
2020-09-03,100000.0
2020-09-04,100000.0
2020-09-08,100000.0
2020-09-09,100000.0
2020-09-10,100000.0
2020-09-11,100000.0
2020-09-14,100000.0
2020-09-15,100000.0
2020-09-16,100000.0
2020-09-17,100000.0
2020-09-18,100000.0
2020-09-21,100000.0
2020-09-22,100000.0
2020-09-23,100000.0
2020-09-24,100000.0
2020-09-25,100000.0
2020-09-28,100000.0
2020-09-29,100000.0
2020-09-30,100000.0
2020-10-01,100000.0
2020-10-02,100000.0
2020-10-05,100000.0
2020-10-06,100000.0
2020-10-07,100000.0
2020-10-08,100000.0
2020-10-09,100000.0
2020-10-12,100000.0
2020-10-13,100000.0
2020-10-14,100000.0
2020-10-15,99033.31263770536
2020-10-16,100618.84359703952
2020-10-19,88601.96167685831
2020-10-20,91215.52700794181
2020-10-21,93648.87002695564
2020-10-22,97602.22784580971
2020-10-23,101324.21812450278
2020-10-26,90237.58835596136
2020-10-27,90237.58835596136
2020-10-28,90237.58835596136
2020-10-29,90237.58835596136
2020-10-30,90237.58835596136
2020-11-02,90237.58835596136
2020-11-03,90237.58835596136
2020-11-04,90237.58835596136
2020-11-05,90237.58835596136
2020-11-06,90237.58835596136
2020-11-09,90237.58835596136
2020-11-10,90237.58835596136
2020-11-11,90237.58835596136
2020-11-12,89258.08832734676
2020-11-13,97191.73787973006
2020-11-16,104727.16425054063
2020-11-17,103424.64342348246
2020-11-18,98121.31556081303
2020-11-19,101848.71040712247
2020-11-20,99541.99331014299
2020-11-23,105972.24409980938
2020-11-24,113373.26537754308
2020-11-25,113373.26537754308
2020-11-27,113373.26537754308
2020-11-30,112538.08624296868
2020-12-01,120766.75273334555
2020-12-02,124093.24509825208
2020-12-03,125132.07657390674
2020-12-04,130045.02818608024
2020-12-07,130399.82862918246
2020-12-08,132400.213053925
2020-12-09,131499.42793405484
2020-12-10,132529.95728038196
2020-12-11,132938.91033039626
2020-12-14,129465.48825410398
2020-12-15,139979.81046319337
2020-12-16,142090.82393418762
2020-12-17,146016.82950966564
2020-12-18,145450.4121045391
2020-12-21,145078.45036079382
2020-12-22,145729.21225921056
2020-12-23,147731.9682976711
2020-12-24,150645.9758744371
2020-12-28,150645.9758744371
2020-12-29,150645.9758744371
2020-12-30,150645.9758744371
2020-12-31,150645.9758744371
2021-01-04,149638.60871823604
2021-01-05,156976.02860071138
2021-01-06,162790.81068419295
2021-01-07,171758.53881695934
2021-01-08,174579.69455597186
2021-01-11,174579.69455597186
2021-01-12,174579.69455597186
2021-01-13,173379.46479284673
2021-01-14,171131.83371134536
2021-01-15,162427.0661531642
2021-01-19,171462.5989713835
2021-01-20,182929.31145862362
2021-01-21,184885.01344178128
2021-01-22,184462.13636141218
2021-01-25,188029.63205649663
2021-01-26,188744.48624451744
2021-01-27,187413.78050326218
2021-01-28,197140.04356729885
2021-01-29,166075.61946974817
2021-02-01,166075.61946974817
2021-02-02,166075.61946974817
2021-02-03,166075.61946974817
2021-02-04,166075.61946974817
2021-02-05,166075.61946974817
2021-02-08,166075.61946974817
2021-02-09,166075.61946974817
2021-02-10,166075.61946974817
2021-02-11,166075.61946974817
2021-02-12,166075.61946974817
2021-02-16,166075.61946974817
2021-02-17,166075.61946974817
2021-02-18,164962.4811492719
2021-02-19,164753.36722233202
2021-02-22,156189.3582372102
2021-02-23,157852.96310953653
2021-02-24,168123.2286917302
2021-02-25,143689.53684107936
2021-02-26,139285.04028446437
2021-03-01,156310.04924079252
2021-03-02,154266.32626525298
2021-03-03,154266.32626525298
2021-03-04,154266.32626525298
2021-03-05,154266.32626525298
2021-03-08,154266.32626525298
2021-03-09,154266.32626525298
2021-03-10,154266.32626525298
2021-03-11,154266.32626525298
2021-03-12,154266.32626525298
2021-03-15,154266.32626525298
2021-03-16,154266.32626525298
2021-03-17,154266.32626525298
2021-03-18,152888.97842602918
2021-03-19,151219.8163440208
2021-03-22,160214.66313659388
