entry_date,exit_date,side,side_flag,spot,short_strike,long_strike,width,entry_credit,max_loss_per_spread,rsi3,rv20,ret5,ret10,ret20,spot_to_sma50,sma50_to_sma200,ema10_gap,iv_proxy,short_distance_pct,width_pct,credit_to_width,net_pnl_per_spread,return_on_risk_pct,label,exit_reason
2020-10-15,2020-10-19,bull_put,1,322.1264038085937,316,300,16,3.583694755940793,1241.6305244059206,0.0,0.1962076458407654,0.010820937365123573,0.03103476333044286,0.038860735449417705,1.0272729704884556,1.0935858111661056,0.008795741461421258,0.22563879271688017,0.019018632860142628,0.049669942639992776,0.22398092224629956,-131.9369153948466,-10.62610114695546,0,rule_exit
2020-10-16,2020-10-19,bull_put,1,321.93170166015625,315,299,16,3.262029494704952,1273.7970505295048,0.0,0.18997971207589598,0.0012682598283018098,0.040288293078634796,0.05032501750117224,1.0257852183686647,1.094032187986116,0.006687680446698874,0.21847666888728035,0.021531590782797858,0.04969998269039757,0.2038768434190595,-143.5373025321623,-11.268459325800391,0,rule_exit
2020-10-19,2020-10-20,bull_put,1,317.0372619628906,311,295,16,3.516068257311513,1248.3931742688487,0.0,0.19436303331193464,-0.029566222511344775,0.006622071861039469,0.04599827020800795,1.0096665265659375,1.094172096226836,-0.007061617187342217,0.2235174883087248,0.01904275202703867,0.05046725391500766,0.21975426608196957,36.847987428552585,2.951633202427071,1,rule_exit
2020-10-20,2020-10-21,bull_put,1,318.3072814941406,312,296,16,3.4225801911450326,1257.7419808854968,19.97149397486305,0.19227428987621575,-0.019278671988301577,0.02522916865096514,0.03960048966498686,1.0131639186418075,1.0943332610645573,-0.0025246928397196777,0.2211154333576481,0.019815071350344618,0.05026589377690541,0.21391126194656454,31.312999069709065,2.48962025165635,1,rule_exit
2020-10-21,2020-10-26,bull_put,1,317.7046813964844,311,295,16,2.8564121950396317,1314.3587804960368,18.767672485715437,0.16865781620226888,-0.014945733552941931,0.005781150429516435,0.06226732874109664,1.0105745546985285,1.0946260705978228,-0.0036135789822873132,0.1939564886326092,0.021103502054214827,0.05036123462100502,0.17852576218997698,-57.88048523897055,-4.403705144886433,0,rule_exit
2020-11-12,2020-11-24,bull_put,1,327.4195251464844,321,305,16,3.956464088991721,1204.353591100828,39.78862541774371,0.2196162730764801,0.008479914966798452,0.07039823259152245,0.016431814577472004,1.041110066423003,1.0896820068821225,0.01344897451685223,0.2525587140379521,0.019606421283557662,0.04886696965564822,0.24727900556198257,312.6442840754285,25.959509431915173,1,rule_exit
2020-11-19,2020-12-01,bull_put,1,331.6557312011719,325,308,17,4.157537963582934,1284.2462036417066,19.25450088749895,0.22546572890032873,0.012938159545592853,0.021527789005164832,0.0382167734798291,1.0479539460493192,1.0934668276302255,0.0077982903725457575,0.259285588235378,0.0200681929332761,0.051257971446567095,0.24456105668134906,360.014956937052,28.033172760500758,1,rule_exit
2020-11-20,2020-11-27,bull_put,1,329.3846740722656,323,306,17,4.232298211784409,1276.770178821559,18.0932940438274,0.2275311055333697,-0.007735292303310604,0.014764524825413128,0.027618648919428557,1.0394017289010673,1.0944268702469244,0.0007339990716210831,0.2616607713633751,0.019383640390216984,0.051611387347883314,0.24895871834025934,316.4956644949358,24.788773245554406,1,rule_exit
2020-11-30,2020-12-08,bull_put,1,335.62322998046875,329,312,17,3.0105093026220944,1398.9490697377908,31.76195356251877,0.16252664773721115,0.01894003090998231,0.01105823193134925,0.10877657032543953,1.0510619180246359,1.1001277591317784,0.006980369261693209,0.1869056448977928,0.019734122637620113,0.05065203621629318,0.17708878250718202,234.9005885973076,16.791218042078953,1,rule_exit
2020-12-09,2020-12-14,bull_put,1,340.06353759765625,333,316,17,2.8084285529535293,1419.1571447046472,20.929728074316998,0.13062576883681243,0.00016353449931694186,0.00999398256439199,0.03618240980434151,1.0481254711235295,1.112196481544978,0.0021546093106947772,0.18,0.020771228951965513,0.04999065798143119,0.16520167958550172,-22.124823505545237,-1.5590115293503892,0,rule_exit
2020-12-10,2020-12-14,bull_put,1,339.9523010253906,333,316,17,2.8365094771014725,1416.3490522898528,23.893076951090706,0.12909394988129022,0.00010908266239262332,0.011222749458783765,0.028205329139860957,1.045879752939107,1.1129216063978482,0.0014941576670439716,0.18,0.020450813259450085,0.05000701553930735,0.1668534986530278,-35.296729537802776,-2.492092572853953,0,rule_exit
2020-12-11,2020-12-14,bull_put,1,339.5537109375,333,316,17,2.938681380542136,1406.1318619457866,0.0,0.12274033634823463,-0.00959843793059989,0.00723162968262403,0.037060055552847304,1.0429129167279614,1.1134672986268028,0.0002617354633147606,0.18,0.019300955125495036,0.05006571700560536,0.17286361062012565,-39.85290935770746,-2.834222766459437,0,rule_exit
2020-12-14,2020-12-24,bull_put,1,338.03338623046875,331,314,17,2.7931601735939067,1420.6839826406092,0.0,0.11603982570478158,-0.012002771503322962,0.007181136568348512,0.01831877917340119,1.0364244555360067,1.1143625877647945,-0.003452802849063241,0.18,0.020806779794447398,0.05029089046372929,0.16430353962317099,223.11397150030584,15.704686913243467,1,rule_exit
2020-12-22,2021-01-04,bull_put,1,341.8761901855469,335,318,17,2.8785906439294373,1412.1409356070562,0.0,0.10303854280388561,-0.002123025185292615,-0.003686305857107719,0.031739061521312895,1.0386142682702233,1.1163379690273,7.943671614696335e-05,0.18,0.02011310054032997,0.049725603853177286,0.16932886140761397,144.94952685507977,10.264522697429513,1,rule_exit
2020-12-23,2021-01-04,bull_put,1,342.1833190917969,335,318,17,2.80116379577819,1419.883620422181,14.534321158817491,0.08757517991341839,-0.0027912545375117226,0.006233486568761881,0.01628976648923741,1.0384356583246663,1.1158026366051639,0.0007999340808868549,0.18,0.020992604522226344,0.04968097230782732,0.16477434092812882,116.56503961665948,8.209478434718518,1,rule_exit
2021-01-04,2021-01-08,bull_put,1,343.31915283203125,336,319,17,2.778717909571496,1422.1282090428504,32.224467792555856,0.09895814681317058,-0.0005690153422704958,-0.005045137374637743,0.010014057747553373,1.0322450493604574,1.1128195604805309,-0.0033720367790311956,0.18,0.021318801388316783,0.049516608263091115,0.16345399468067623,227.94017791937858,16.0281032659349,1,rule_exit
2021-01-13,2021-01-15,bull_put,1,353.55938720703125,346,329,17,2.8317421957489706,1416.825780425103,29.972041339514618,0.10560347771640329,0.01670466112445168,0.02242517579803316,0.04593037732070937,1.0454020059535747,1.115157203492677,0.009211348558022081,0.18,0.021380813183174665,0.04808244559504633,0.16657307033817473,-89.55624098138514,-6.320907074016876,0,rule_exit
2021-01-15,2021-01-26,bull_put,1,349.7518920898437,343,325,18,3.0500441566800145,1494.9955843319985,19.96099538744771,0.10332784696593336,-0.014583229616973115,0.004867888202444437,0.019265481613027546,1.0290027584370935,1.1163327322344145,-0.0021989827388171346,0.18,0.019304805041938926,0.0514650539628137,0.16944689759333414,231.01109476381617,15.452292781656457,1,rule_exit
2021-01-27,2021-01-28,bull_put,1,348.5509948730469,342,324,18,3.0914406587767105,1490.855934122329,13.141549619257106,0.1434239368146335,-0.0246944964964787,-0.011510847155942305,0.006018856535288997,1.0132432256397736,1.1155175235776418,-0.014833735064713416,0.18,0.018794939533691338,0.05164237160348993,0.1717467032653728,77.89505929952423,5.224854898228733,1,rule_exit
2021-01-28,2021-01-29,bull_put,1,351.5486145019531,345,327,18,3.1269011140097587,1487.3098885990241,24.394035722090877,0.14606645800436,-0.01720287107538543,-0.005687227599760147,0.016610411119544866,1.0207943327456876,1.1151489168985071,-0.005210543059055994,0.18,0.018627905876490783,0.05120202230209613,0.1737167285560977,-244.23792666548388,-16.421455174721153,0,rule_exit
2021-02-18,2021-02-22,bull_put,1,363.73443603515625,356,338,18,2.948618699581771,1505.138130041823,4.284844606088228,0.1548229715686343,0.0016405126709244655,0.023228937027832464,0.01779137772379391,1.0358101301774478,1.1119243926029634,0.0032734588190797,0.18,0.021263964224736448,0.0494866534942549,0.16381214997676505,-79.93510162776062,-5.310815003108019,0,rule_exit
2021-02-19,2021-02-22,bull_put,1,363.0921325683594,356,338,18,3.1108068905400286,1488.919310945997,3.6728795643365544,0.1551180615645365,-0.0017403968571335637,0.00994307028625796,0.015068444883080456,1.0327486459137312,1.1114912755893374,0.0012284264446935644,0.18,0.019532597740944273,0.04957419449624439,0.17282260503000157,-79.087354431118,-5.311728704819417,0,rule_exit
2021-02-22,2021-02-23,bull_put,1,360.2993774414063,353,335,18,3.043644609142184,1495.6355390857816,0.0,0.15734068736724482,-0.014287964948720422,-0.001753947777608511,0.010838809503261215,1.02380586212293,1.1108377221668257,-0.0053020115982328475,0.18094179047233153,0.02025920081583646,0.04995845434933412,0.16909136717456577,15.918432557306119,1.064325642264183,1,rule_exit
2021-02-23,2021-02-25,bull_put,1,360.7368774414063,354,335,19,3.2373122722828938,1576.2687727717105,11.29744042365418,0.15686575080114531,-0.012235596909848323,-0.007707904824919898,0.008090650352041484,1.0238461370534615,1.110455283450416,-0.0033522804319982002,0.1803956134213171,0.01867532227142639,0.052669968578652256,0.17038485643594178,-142.18020484426103,-9.020048312842702,0,rule_exit
